Model,MSE,MAE,RMSE,R2,Train_Time,TOPSIS_Score,Rank
Linear Regression,25.696785790910088,3.287557889370344,5.069199718980314,0.25270794521481343,0.006522417068481445,0.3193744128721217,5.0
Ridge Regression,25.695155543258835,3.286432021328515,5.069038917118198,0.25275535468956367,0.007674694061279297,0.3190570137454583,6.0
Lasso Regression,26.98232212073192,2.9393408257689386,5.1944510894541995,0.2153230717434632,0.003072977066040039,0.3110275734465797,7.0
Decision Tree,15.251135163036215,1.0029498073808016,3.9052701779820835,0.5564794668668831,0.008845329284667969,0.614695053743512,3.0
Random Forest,4.96998204371155,0.6946673919256067,2.2293456537090766,0.8554672119730836,0.7192416191101074,0.6925361398802301,1.0
Gradient Boosting,11.781684675879829,1.3728288904739154,3.4324458736999524,0.6573750732130937,0.31919169425964355,0.6654728425589954,2.0
KNN,24.023412062454444,1.738427341898906,4.901368386731857,0.3013715758391351,0.002893686294555664,0.3738591022235517,4.0
